ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
111,simple,,Gối Nằm Chống Ngạt Cho Bé Simba S4116,1,0,visible,,,,,,,1,,,,,,,,1,,,229000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/s/4/s4116-3.u2442.d20170111.t134801.908570.jpg,,,,,,,,,0
112,simple,,Ống Hút Tự Động Thay Thế Simba Cổ Rộng - Size M,1,0,visible,,,,,,,1,,,,,,,,1,,,50000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/p/2/p2128_0.u2442.d20170217.t135435.163410.jpg,,,,,,,,,0
113,simple,,Ngậm Nướu Hương Sữa Simba - Hình Sư Tử Simba,1,0,visible,,,,,,,1,,,,,,,,1,,,56000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/p/1/p1613-1.u2442.d20170216.t163055.784856.jpg,,,,,,,,,0
114,simple,,Miếng Lót Đầu Gối Cho Bé Simba S7010,1,0,visible,,,,,,,1,,,,,,,,1,,,95000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/s/7/s7010-2.u2442.d20170112.t123404.301938.jpg,,,,,,,,,0
115,simple,,Núm Ty Silicone Bình Cổ Chuẩn Simba Dòng Chảy Chữ Thập - Size L,1,0,visible,,,,,,,1,,,,,,,,1,,,39000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/p/6/p6303_2.jpg,,,,,,,,,0
116,simple,,Bộ Cọ Rửa Bình Sữa Sợi Nylon Simba S1411,1,0,visible,,,,,,,1,,,,,,,,1,,,66000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/s/1/s1411-2.u2442.d20170109.t155255.559759.jpg,,,,,,,,,0
117,simple,,Ghế Tắm Cho Bé Simba S9846,1,0,visible,,,,,,,1,,,,,,,,1,,,345000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/s/9/s9846-2.u2442.d20170104.t163809.513393.jpg,,,,,,,,,0
118,simple,,Bộ 6 Ống Hút Tự Động Thay Thế,1,0,visible,,,,,,,1,,,,,,,,1,,,73000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/19/91/8f/cefb6db6b989c19e4ca246f1c682891a.jpg,,,,,,,,,0
119,simple,,Dung Dịch Giặt Quần Áo Cho Bé D-Nee - Chai 3000ml (Tím),1,0,visible,,,,,,,1,,,,,,,,1,,,165000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/a1/89/70/5e818a2a8a3e3696073f46df6a449bbe.jpg,,,,,,,,,0
120,simple,,Dung Dịch Giặt Quần Áo Cho Bé D-Nee - Chai 3000ml (Xanh),1,0,visible,,,,,,,1,,,,,,,,1,,,165000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/37/0b/bc/bae97558783dae8f73219112f4256abc.jpg,,,,,,,,,0
121,simple,,Nước Rửa Bình Sữa D-nee - Chai 500ml,1,0,visible,,,,,,,1,,,,,,,,1,,,72000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/8/8/8851989060248_1.u2442.d20160912.t114818.95968.jpg,,,,,,,,,0
122,simple,,Dung Dịch Tắm Gội Toàn Thân Cho Bé Dưới 3 Tuổi D-nee - Chai 200ml (Xanh Lá),1,0,visible,,,,,,,1,,,,,,,,1,,,48000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/8/8/8851989060378_1.u2442.d20160912.t135128.762214_1.jpg,,,,,,,,,0
123,simple,,Dung Dịch Tắm Gội Toàn Thân Cho Bé Trên 3 Tuổi D-nee - Chai 200ml (Tím),1,0,visible,,,,,,,1,,,,,,,,1,,,48000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/8/8/8851989060576_1.u2442.d20160912.t154624.831443_2.jpg,,,,,,,,,0
124,simple,,Bình Tập Uống 3 Quai Pur PUR9004 (250ml),1,0,visible,,,,,,,1,,,,,,,,1,,,126000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/o/r/or.u2566.d20170414.t180727.654858.jpg,,,,,,,,,0
125,simple,,Hộp 50 Túi Trữ Sữa Pur PUR6204 (250ml / túi),1,0,visible,,,,,,,1,,,,,,,,1,,,151000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/f5/7d/0f/83d607a679d0a58b5361f92961e77f82.jpg,,,,,,,,,0
126,simple,,Bộ 2 Muỗng Nhựa Mềm Pur PUR5404,1,0,visible,,,,,,,1,,,,,,,,1,,,43000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/5/4/5404-h.u2566.d20170417.t103347.317468.jpg,,,,,,,,,0
127,simple,,Bình Uống Nước Cách Nhiệt Nóng Lạnh Hình 3D Pur PUR9009,1,0,visible,,,,,,,1,,,,,,,,1,,,160000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u2566.d20170414.t184208.455253.jpg,,,,,,,,,0
128,simple,,Bình Cổ Rộng Pur Milk Safe PUR9811 (150ml),1,0,visible,,,,,,,1,,,,,,,,1,,,139000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/9/8/9811-3-bottle-cab-hood.u2566.d20170414.t173104.257846.jpg,,,,,,,,,0
129,simple,,"Bộ Tô, Ly, Muỗng, Nĩa Tập Ăn Pur PUR5910",1,0,visible,,,,,,,1,,,,,,,,1,,,151000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/5/9/5910p2.u2566.d20170417.t092706.2008.jpg,,,,,,,,,0
130,simple,,Giường Lưới Fancy Cỡ Lớn Fancy - Xanh (120 x 60 cm),1,0,visible,,,,,,,1,,,,,,,,1,,,399000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/ef/8f/ff/3904415894d470cebb0f817c3fb5bd09.jpg,,,,,,,,,0
131,simple,,Bộ 2 Lược Cho Bé Kuku KU5414,1,0,visible,,,,,,,1,,,,,,,,1,,,73000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/5/4/5414.jpg,,,,,,,,,0
132,simple,,Bộ 36 Miếng Lót Thấm Sữa Kuku KU5421,1,0,visible,,,,,,,1,,,,,,,,1,,,99000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/550x550/media/catalog/product/k/u/ku5421_34.jpg,,,,,,,,,0
