ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Backorders allowed?	Sold individually?	Weight (g)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position	Meta: _wp_desired_post_slug	Meta: _customize_changeset_uuid
432	simple		S?a B?t Meiji Infant Formula (800g)	1	0	visible					taxable		1		0	0					1			490000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u4939.d20171024.t101421.941627.jpg									0		
433	simple		S?a B?t Meiji Growing Up Formula (800g)	1	0	visible					taxable		1		0	0					1			439000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u4939.d20171024.t104512.15481.jpg									0		
434	simple		S?a Meiji Ezcube Infant Formula D?ng Viên (432g)	1	0	visible					taxable		1		0	0					1			338000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/0/_/0.u4939.d20171024.t100035.133667.jpg									0		
435	simple		S?a B?t Meiji N?i ??a S? 9 (800g)	1	0	visible					taxable		1		0	0					1			419000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/83/5c/fe/adbaccf50498a97b81f27ac2b0153e6b.jpg									0		
436	simple		Dinh D??ng ?óng H?p Th?t Bê Mì S?i Cà Chua HiPP 220g - 6833	1	0	visible					taxable		1		0	0					1			52000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/b8/fe/9c/12481a3ac48180c387862be944c5d3a5.jpg									0		
437	simple		B?t Dinh D??ng S?a Ki?u M?ch HiPP 250g - 2917	1	0	visible					taxable		1		0	0					1			115000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/08/6a/37/d719b6da52c1d0ae1132b08c11cb1bd1.jpg									0		
438	simple		S?a Công Th?c HiPP 1 Combiotic Organic (350g)	1	0	visible					taxable		1		0	0					1			249000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/c9/aa/d7/7a09be57db0980a471841a0cd7682cfa.jpg									0		
439	simple		"Trà C?m Hòa Tan Hoa Qu?, Hoa Dâm B?t V?i Isomaltulose HiPP 3667 (200g)"	1	0	visible					taxable		1		0	0					1			166000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/42/2e/9a/dcad240d268251411efb0fd454652783.jpg									0		
440	simple		B?t ?n D?m Nestlé Cerelac - G?o S?a Dinh D??ng (200g)	1	0	visible					taxable		1		0	0					1			53000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/4f/86/b7/c97251ccec31ee890e5a0fe11efca298.jpg									0		
441	simple		Bánh ?n D?m Nestlé CERELAC Nutripuffs V? Chu?i Dâu - Gói 50g	1	0	visible					taxable		1		0	0					1			45000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/81/64/32/dfaaf044046e2b3daa44e14f75beee01.jpg									0		
